ObdobÌ;Typ hl·öenÌ;ATC7;KÛd S⁄KL;N·zev p¯Ìpravku;DoplnÏk n·zvu;Drûitel registraËnÌho rozhodnutÌ;ZemÏ;Typ pohybu;PoËet balenÌ;PoËet definovan˝ch dennÌch d·vek/balenÌ;Zp˘sob v˝deje;Hrazeno
2020.05;Distributor;A10BJ02;149308;VICTOZA;6MG/ML INJ SOL 2X3ML;NOO;DK;D;5168;24;R;Ano
2020.05;Distributor;A10BJ05;210230;TRULICITY;1,5MG INJ SOL 2X0,5ML;LIY;NL;D;21600;18,75;R;Ano
2020.05;Distributor;A10BJ06;223052;OZEMPIC;0,25MG INJ SOL 1X1,5ML+4J;NOO;DK;D;1783;18,1818;R;Ano
2020.05;Distributor;A10BJ06;223053;OZEMPIC;0,5MG INJ SOL 1X1,5ML+4J;NOO;DK;D;5635;18,1818;R;Ano
2020.05;Distributor;A10BJ06;223055;OZEMPIC;1MG INJ SOL 1X3ML+4J;NOO;DK;D;2720;36,3636;R;Ano
2020.05;Distributor;A10BK01;193660;FORXIGA;10MG TBL FLM 30X1;AZC;S;D;2250;30;R;Ano
2020.05;Distributor;A10BK01;193661;FORXIGA;10MG TBL FLM 90X1;AZC;S;D;1920;90;R;Ano
2020.05;Distributor;A10BK02;194607;INVOKANA;100MG TBL FLM 100X1;JAI;B;D;1310;50;R;Ano
2020.05;Distributor;A10BK02;194605;INVOKANA;100MG TBL FLM 30X1;JAI;B;D;7200;15;R;Ano
2020.05;Distributor;A10BK02;194611;INVOKANA;300MG TBL FLM 100X1;JAI;B;D;680;150;R;Ano
2020.05;Distributor;A10BK02;194609;INVOKANA;300MG TBL FLM 30X1;JAI;B;D;160;45;R;Ano
2020.05;Distributor;A10BX02;26769;NOVONORM;0,5MG TBL NOB 90;NOO;DK;D;20;11,25;R;Ano
2020.05;Distributor;A10BX02;26777;NOVONORM;1MG TBL NOB 90;NOO;DK;D;49;22,5;R;Ano
2020.05;Distributor;A10BX02;26782;NOVONORM;2MG TBL NOB 90;NOO;DK;D;137;45;R;Ano
2020.05;Distributor;A11CC03;225819;ALFACALCIDOL CANDE;1MCG CPS MOL 90;CNZ;CZ;D;10395;90;R;Ano
2020.05;Distributor;A11CC05;243240;VIGANTOL;0,5MG/ML POR GTT SOL 1X10ML;PAG;D;D;120000;250;R;Ano
2020.05;Distributor;A11DA03;85315;BENFOGAMMA;50MG TBL OBD 100;WGP;D;D;35;;R;Ne
2020.05;Distributor;A11DB;42477;MILGAMMA;50MG/250MCG TBL OBD 100;WGP;D;D;325;;F;Ne
2020.05;Distributor;A11DB;42475;MILGAMMA;50MG/250MCG TBL OBD 20;WGP;D;D;630;;F;Ne
2020.05;Distributor;A11DB;42476;MILGAMMA;50MG/250MCG TBL OBD 50;WGP;D;D;1600;;F;Ne
2020.05;Distributor;A11DB;11485;MILGAMMA N;INJ SOL 5X2ML;WGP;D;D;1956;10;R;Ne
2020.05;Distributor;A11DB;13818;MILGAMMA N;40MG/90MG/0,25MG CPS MOL 100;WGP;D;D;17136;;F;Ne
2020.05;Distributor;A11DB;13814;MILGAMMA N;40MG/90MG/0,25MG CPS MOL 20;WGP;D;D;2881;;F;Ne
